TransactionID,TransactionDate,Time,TransactionAmount (INR),Mobile,IsFraud
T1,02-08-2022,6242,25,9088909087,0
T2,02-08-2022,3761,27999,9088909088,0
T3,02-08-2022,5747,459,9088909089,0
T4,02-08-2022,3590,2060,9088909090,0
T5,02-08-2022,6329,1762.5,9088909091,0
T6,02-08-2022,1698,676,9088909092,0
T7,02-08-2022,5476,566,9088909093,0
T8,02-08-2022,5780,148,9088909094,0
T9,02-08-2022,2664,833,9088909095,0
T10,02-08-2022,2009,289.11,9088909096,0
T11,02-08-2022,611,259,9088909097,1
T12,02-08-2022,3053,202,9088909098,0
T13,02-08-2022,3411,12300,9088909099,0
T14,01-08-2022,5064,50,9088909100,0
T15,01-08-2022,5758,338,9088909101,0
T16,01-08-2022,776,250,9088909102,1
T17,01-08-2022,5771,1423.11,9088909103,0
T18,01-08-2022,516,54,9088909104,1
T19,01-08-2022,4855,315,9088909105,0
T20,01-08-2022,4393,945,9088909106,0
T21,01-08-2022,4679,36,9088909107,0
T22,03-08-2022,77,27,9088909108,1
T23,03-08-2022,6263,110,9088909109,0
T24,03-08-2022,4017,291,9088909089,0
T25,03-08-2022,880,1892,9088909090,1
T26,03-08-2022,121,242,9088909091,1
T27,03-08-2022,2410,5500,9088909092,0
T28,03-08-2022,6372,2235,9088909093,0
T29,03-08-2022,3672,36.9,9088909094,0
T30,03-08-2022,1243,2600,9088909095,0
T31,03-08-2022,5779,500,9088909096,0
T32,03-08-2022,5515,10,9088909097,0
T33,03-08-2022,3817,760,9088909098,0
T34,03-08-2022,646,6800,9088909099,1
T35,03-08-2022,2331,110,9088909100,0
T1048567,03-08-2022,2615,1075,9088909101,0
T37,03-08-2022,2604,1081,9088909102,0
T38,03-08-2022,3668,2999,9088909103,0
T39,03-08-2022,1613,1350,9088909104,0
T40,03-08-2022,3914,683,9088909105,0
T41,03-08-2022,4833,50,9088909106,0
T42,03-08-2022,2801,12,9088909107,0
T43,03-08-2022,1854,179,9088909108,0
T44,03-08-2022,6075,421.8,9088909109,0
T45,03-08-2022,2639,900,9088909089,0
T46,03-08-2022,6604,90,9088909090,0
T47,03-08-2022,6681,13846,9088909091,0
T48,03-08-2022,45,59.47,9088909092,1
T49,02-08-2022,6499,55,9088909093,0
T50,05-08-2022,64,27990,9088909094,1
T51,05-08-2022,6340,1388,9088909095,0
T52,05-08-2022,1748,145,9088909096,0
T53,05-08-2022,2867,519,9088909097,0
T54,05-08-2022,1814,100,9088909098,0
T55,05-08-2022,4544,150,9088909099,0
T56,05-08-2022,6450,107,9088909100,0
T57,05-08-2022,6819,1008.63,9088909101,0
T58,05-08-2022,410,110,9088909102,1
T59,05-08-2022,4364,726,9088909103,0
T60,05-08-2022,6324,4387,9088909104,0
T61,05-08-2022,5299,1500,9088909105,0
T62,05-08-2022,6959,412.2,9088909106,0
T63,05-08-2022,3270,60,9088909107,0
T64,05-08-2022,4054,262,9088909108,0
T65,04-08-2022,2374,35,9088909109,0
T66,04-08-2022,3811,1,9088909110,0
T67,04-08-2022,4538,339.92,9088909111,0
T68,04-08-2022,2029,101,9088909112,0
T69,01-08-2022,3651,9746.5,9088909113,0
T70,01-08-2022,4584,142,9088909114,0
T71,01-08-2022,1005,6259.72,9088909115,0
T72,01-08-2022,788,213,9088909116,1
T73,01-08-2022,2953,666,9088909117,0
T74,01-08-2022,2447,3998,9088909118,0
T75,01-08-2022,5475,507,9088909119,0
T76,01-08-2022,5993,800,9088909120,0
T77,01-08-2022,527,467,9088909121,1
T78,01-08-2022,5067,98,9088909122,0
T79,01-08-2022,2717,57,9088909123,0
T80,01-08-2022,932,195.64,9088909124,1
T81,01-08-2022,1216,878,9088909125,0
T82,01-08-2022,5068,326,9088909126,0
T83,01-08-2022,5869,2997.02,9088909127,0
T84,01-08-2022,3712,1642,9088909128,0
T85,06-08-2022,2147,500,9088909129,0
T86,06-08-2022,3181,11,9088909130,0
T87,06-08-2022,3163,28,9088909131,0
T88,06-08-2022,3959,2200,9088909132,0
T89,06-08-2022,6871,1499,9088909133,0
T90,06-08-2022,1324,288,9088909134,0
T91,06-08-2022,3679,100,9088909135,0
T92,06-08-2022,5740,4000,9088909136,0
T93,06-08-2022,6870,930,9088909137,0
T94,06-08-2022,583,2813.62,9088909138,1
T95,06-08-2022,4086,787.98,9088909139,0
T96,06-08-2022,874,96,9088909140,1
T97,06-08-2022,3038,179,9088909141,0
T98,06-08-2022,60,830,9088909142,1
T99,06-08-2022,6895,3380,9088909143,0
T100,06-08-2022,3473,810,9088909144,0
T101,06-08-2022,3693,1473.5,9088909145,0
T102,06-08-2022,2775,1897,9088909146,0
T103,06-08-2022,1209,974,9088909147,0
T104,06-08-2022,2460,50,9088909148,0
T105,06-08-2022,3003,500,9088909149,0
T106,06-08-2022,5205,1826,9088909150,0
T107,06-08-2022,1028,2898.78,9088909151,0
T108,06-08-2022,2489,1803,9088909152,0
T109,06-08-2022,2214,205,9088909153,0
T110,06-08-2022,5472,164,9088909154,0
T111,06-08-2022,6056,2245.95,9088909155,0
T112,06-08-2022,1867,59,9088909156,0
T113,05-08-2022,1335,1480,9088909157,0
T114,05-08-2022,1986,1,9088909158,0
T115,05-08-2022,3531,40,9088909159,0
T116,09-08-2022,5698,599,9088909160,0
T117,09-08-2022,5817,2066.74,9088909161,0
T118,09-08-2022,5806,250,9088909162,0
T119,09-08-2022,5603,25,9088909163,0
T120,09-08-2022,3817,478,9088909164,0
T121,09-08-2022,273,1000,9088909165,1
T122,09-08-2022,5377,895,9088909166,0
T123,09-08-2022,118,500,9088909167,1
T124,09-08-2022,3531,385,9088909168,0
T125,09-08-2022,358,457,9088909169,1
T126,09-08-2022,2049,1747,9088909170,0
T127,09-08-2022,589,60,9088909171,1
T128,09-08-2022,5114,200,9088909172,0
T129,08-08-2022,3546,25,9088909173,0
T130,08-08-2022,4119,127,9088909174,0
T131,08-08-2022,5779,1150,9088909175,0
T132,08-08-2022,5687,155,9088909176,0
T133,08-08-2022,2685,40,9088909177,0
T134,04-08-2022,2163,250,9088909178,0
T135,04-08-2022,831,150,9088909179,1
T136,04-08-2022,3505,75,9088909180,0
T137,04-08-2022,3895,50,9088909181,0
T138,04-08-2022,2591,10885,9088909182,0
T139,04-08-2022,5677,530.6,9088909183,0
T140,04-08-2022,6356,555,9088909184,0
T141,04-08-2022,4886,5757,9088909185,0
T142,04-08-2022,5094,777,9088909186,0
T143,04-08-2022,154,2124,9088909187,1
T144,04-08-2022,3870,20,9088909188,0
T145,04-08-2022,6306,405.52,9088909189,0
T146,04-08-2022,4814,355,9088909190,0
T147,09-08-2022,75,245,9088909191,1
T148,09-08-2022,5682,360,9088909192,0
T149,09-08-2022,952,955,9088909193,1
T150,09-08-2022,5536,70,9088909194,0
T151,09-08-2022,492,299,9088909195,1
T152,09-08-2022,6964,1500,9088909196,0
T153,09-08-2022,4837,1986.5,9088909197,0
T154,04-08-2022,6857,1274,9088909198,0
T155,04-08-2022,4583,149,9088909199,0
T156,04-08-2022,5625,110,9088909200,0
T157,04-08-2022,313,2297,9088909201,1
T158,04-08-2022,5787,170,9088909202,0
T159,04-08-2022,4434,101,9088909203,0
T160,09-08-2022,924,1665,9088909204,1
T161,09-08-2022,4138,217,9088909205,0
T162,09-08-2022,5604,500,9088909206,0
T163,09-08-2022,2529,1020,9088909207,0
T164,09-08-2022,1407,5000,9088909208,0
T165,09-08-2022,5861,300,9088909209,0
T166,09-08-2022,2800,1800,9088909210,0
T167,09-08-2022,1323,2074,9088909211,0
T168,09-08-2022,6557,210,9088909212,0
T169,09-08-2022,3533,100,9088909213,0
T170,09-08-2022,3821,500,9088909214,0
T171,12-08-2022,4695,100,9088909215,0
T172,12-08-2022,1274,451,9088909216,0
T173,12-08-2022,6832,100,9088909217,0
T174,12-08-2022,4047,599,9088909218,0
T175,12-08-2022,2386,825,9088909219,0
T176,12-08-2022,6207,80,9088909220,0
T177,12-08-2022,1180,3449,9088909221,0
T178,12-08-2022,4707,2830.5,9088909222,0
T179,12-08-2022,1706,1328.72,9088909223,0
T180,12-08-2022,5284,50,9088909224,0
T181,12-08-2022,511,8.99,9088909225,1
T182,12-08-2022,5764,456,9088909226,0
T183,12-08-2022,1413,2580,9088909227,0
T184,12-08-2022,4707,2117,9088909228,0
T185,08-08-2022,1391,64,9088909229,0
T186,08-08-2022,6812,500,9088909230,0
T187,08-08-2022,6117,26991,9088909231,0
T188,08-08-2022,6625,851,9088909232,0
T189,08-08-2022,4060,600,9088909233,0
T190,08-08-2022,4648,306,9088909234,0
T191,08-08-2022,4574,390,9088909235,0
T192,08-08-2022,5060,150,9088909236,0
T193,08-08-2022,4530,380,9088909237,0
T194,07-08-2022,514,100000,9088909238,1
T195,07-08-2022,3883,60,9088909239,0
T196,07-08-2022,6926,1220,9088909240,0
T197,07-08-2022,5252,614,9088909241,0
T198,07-08-2022,1637,69,9088909242,0
T199,07-08-2022,6217,980,9088909243,0
T200,07-08-2022,6003,148,9088909244,0
T201,07-08-2022,4869,440,9088909245,0
T202,07-08-2022,1697,148,9088909246,0
T203,07-08-2022,690,2134.4,9088909247,1
T204,07-08-2022,4850,496.07,9088909248,0
T205,07-08-2022,5441,100,9088909249,0
T206,07-08-2022,6842,192,9088909250,0
